,Year,Month,Day,Hour,Day of week,DE/LU[€/MWh],Comsumption [MWh],Wind offshore[MWh],Wind onshore[MWh],PV[MWh],Other[MWh],Outlier
13452,2020,4,16,12,3,16.23,0.7487215657384628,-0.9289294235548027,-0.8645584726145833,1.3275740853302784,-0.6370122751506121,0
13453,2020,4,16,13,3,15.29,0.6640704984815193,-0.9822472403486654,-0.7238971985339308,1.3282800410632805,-0.7264580493521262,0
13454,2020,4,16,14,3,15.1,0.5119747289558693,-1.0367116768585252,-0.5967359890904296,1.3160946282682924,-0.8710732838523139,0
13455,2020,4,16,15,3,16.29,0.3683759297947806,-1.0871629443623954,-0.5147300005647757,1.2862905958454027,-0.8522020548496263,0
13456,2020,4,16,16,3,19.32,0.2471878899702228,-1.1232814654163024,-0.4612698146887089,1.2324286144125534,-0.9163257207465137,0
13457,2020,4,16,17,3,24.99,0.24410773821306928,-1.1135351978303276,-0.435954403191139,1.1354579454534972,-0.6624306652358648,0
13458,2020,4,16,18,3,29.34,0.2751216800437186,-1.0676704091904456,-0.43229611357287184,0.9607749963446864,-0.5117496785562419,0
13459,2020,4,16,19,3,46.39,0.24262076839927102,-0.9925668177926389,-0.39006494608864384,0.6442522132563329,-0.44454499567932376,0
13460,2020,4,16,20,3,53.25,0.1497913671664371,-0.9105835080988499,-0.22055167642122195,-0.10113444465340278,-0.5324502613908226,0
13461,2020,4,16,21,3,33.37,-0.09927607664477064,-0.8354799167010432,-0.13961895520414197,-1.0546367986635836,-0.7016173499506293,0
13462,2020,4,16,22,3,27.01,-0.3991129183842331,-0.7810154801911834,-0.1445035432443843,-1.0546367986635836,-0.8412259318582672,0
13463,2020,4,16,23,3,23.71,-0.8013382530166611,-0.7603763253032365,-0.2089684758551694,-1.0546367986635836,-1.1136070892491,0
13464,2020,4,17,0,4,22.08,-1.098519791517198,-0.7695492830312128,-0.36357819895492166,-1.0546367986635836,-1.5595842971085334,0
13465,2020,4,17,1,4,21.58,-1.3043588985986994,-0.795921536499145,-0.4909940885947977,-1.0546367986635836,-1.6712711626346437,0
13466,2020,4,17,2,4,21.06,-1.4053666338074238,-0.8383464659910358,-0.6077955803534592,-1.0546367986635836,-1.6741596160534225,0
13467,2020,4,17,3,4,21.99,-1.3625631455959455,-0.9042770996608661,-0.7389075111790133,-1.0546367986635836,-1.6023334077064584,0
13468,2020,4,17,4,4,22.44,-1.208555557738269,-0.9673411840407038,-0.8527893177681821,-1.0546367986635836,-1.5122136610405625,0
13469,2020,4,17,5,4,24.41,-0.9063820491485521,-1.0017397755206152,-0.928095784610283,-1.0546367986635836,-1.273338563307563,0
13470,2020,4,17,6,4,32.93,-0.28812124299714903,-1.0355650571425281,-0.9844724380377259,0.31318675431780635,-0.825724565177488,0
13471,2020,4,17,7,4,47.84,0.19450667370994176,-1.0785632964924174,-1.1813393328485726,0.8317832448140268,-0.38119158402744396,0
13472,2020,4,17,8,4,44.81,0.458231391400018,-1.1685729441981858,-1.6516816931950753,1.0716192982858235,-0.12854819166493242,0
13473,2020,4,17,9,4,26.41,0.5187723052475184,-1.2866747749458818,-2.3753505528028227,1.2001293683164984,-0.05845505536923563,0
13474,2020,4,17,10,4,24.9,0.6461206485863833,-1.3961769578236,-2.7612259204607708,1.2727617010531371,-0.2184753747695764,0
